X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
20150324222255,-93.88477,38.876,KSGF,Y5,101,347,90,100,1.75
20150324222323,-93.88695,38.87738,KTWX,U0,110,93,100,100,2.25
20150324222454,-93.83293,38.90576,KEAX,S0,21,74,100,100,2.75
20150324222632,-94.03198,36.90443,KINX,R0,86,59,90,100,1.75
20150324222651,-93.84147,38.9073,KTWX,U0,112,92,100,100,2.25
20150324222823,-93.45192,37.4479,KSGF,H7,13,349,90,100,1.75
20150324222823,-93.96875,36.92573,KSGF,E6,33,236,100,100,2.25
20150324223002,-93.97534,36.9216,KEAX,H1,114,173,90,100,2
20150324223002,-93.78846,38.959,KEAX,S0,24,68,90,100,2.25
20150324223018,-93.7966,38.93839,KTWX,U0,114,91,100,100,2.25
20150324223056,-93.97802,36.92952,KINX,R0,89,59,90,100,2
20150324223331,-93.84172,38.50425,KTWX,U2,116,104,90,100,1.25
20150324223331,-93.77372,38.97111,KTWX,U0,115,90,100,100,2
20150324223351,-93.35628,37.48282,KSGF,H7,15,8,90,90,1.5
20150324223351,-93.32452,37.61399,KSGF,Z6,23,9,90,100,1.75
20150324223351,-93.89813,36.9327,KSGF,E6,30,233,100,100,2.25
20150324223351,-93.97216,36.77347,KSGF,G6,39,225,100,100,2.25
20150324223456,-93.78833,38.55718,KEAX,H3,27,124,90,100,2
20150324223456,-93.99532,36.75185,KEAX,I1,124,174,100,100,2.25
20150324223456,-93.93434,36.92583,KEAX,H1,114,172,90,100,2.25
20150324223456,-93.73039,39.02082,KEAX,S0,28,63,100,100,2.5
20150324223519,-93.8894,36.93937,KINX,R0,93,60,90,100,2
20150324223519,-93.9848,36.75707,KINX,B1,84,65,90,100,2
20150324223643,-93.81002,38.53269,KTWX,U2,117,103,100,100,1.75
20150324223643,-93.73017,39.00425,KTWX,U0,117,89,100,100,2.25
20150324223859,-93.81422,36.95542,KSGF,E6,26,230,90,100,1.75
20150324223859,-93.66445,37.53538,KSGF,J5,22,325,90,100,1.75
20150324223859,-93.90359,36.76799,KSGF,G6,37,221,90,100,1.75
20150324223859,-93.30184,37.50761,KSGF,H7,17,16,90,100,1.75
20150324223950,-93.90903,36.77695,KEAX,I1,123,172,90,100,2
20150324223950,-93.66499,39.06724,KEAX,S0,32,61,90,100,2
20150324223950,-93.74341,38.5824,KEAX,H3,28,119,100,100,2.5
20150324223956,-93.78946,38.5285,KTWX,U2,118,103,100,100,1.75
20150324223956,-93.68803,39.07319,KTWX,U0,119,87,100,100,2.25
20150324224309,-93.73753,38.55401,KTWX,U2,120,102,100,100,1.75
20150324224309,-93.64671,39.1092,KTWX,U0,121,86,100,100,2
20150324224406,-93.85811,36.77381,KINX,B1,90,66,90,100,1.75
20150324224407,-93.64959,37.25219,KSGF,Q4,12,275,90,90,1.75
20150324224407,-93.59296,37.54976,KSGF,J5,21,334,90,100,1.75
20150324224407,-93.81464,36.7753,KSGF,G6,34,216,90,100,1.75
20150324224622,-93.70671,38.58441,KTWX,U2,121,101,100,100,1.5
